ANO;LOCALIDAD_RESIDENCIA;GRUPOS_EDAD_QUINQUENIOS;SEXO;CASOS;MUERTES
2020;05 - Usme;13. 55 a 59 años;F;618;6
2020;05 - Usme;08. 30 a 34 años;M;952;1
2020;05 - Usme;01. Menor de 1 año;M;42;
2020;05 - Usme;16. 70 a 74 años;M;190;38
2020;07 - Bosa;06. 20 a 24 años;F;2333;
2020;07 - Bosa;11. 45 A 49 años;M;1417;31
2020;07 - Bosa;03. 5 a 9 años;F;490;
2020;07 - Bosa;11. 45 A 49 años;F;1620;6
2020;07 - Bosa;12. 50 a 54 años;F;1634;16
2020;07 - Bosa;08. 30 a 34 años;F;2449;2
2020;11 - Suba;06. 20 a 24 años;F;4026;
2020;11 - Suba;04. 10 a 14 años;M;1003;
2020;11 - Suba;12. 50 a 54 años;M;2514;45
2020;11 - Suba;10. 40 a 44 años;M;3001;24
2020;11 - Suba;12. 50 a 54 años;F;3100;20
2020;11 - Suba;09. 35 a 39 años;M;3667;14
2020;11 - Suba;14. 60 a 64 años;M;1681;105
2020;03 - Santa Fe;10. 40 a 44 años;M;466;4
2020;03 - Santa Fe;10. 40 a 44 años;F;408;1
2020;03 - Santa Fe;07. 25 a 29 años;F;581;
2020;08 - Kennedy;06. 20 a 24 años;F;3613;2
2020;08 - Kennedy;10. 40 a 44 años;M;2953;26
2020;08 - Kennedy;12. 50 a 54 años;F;2679;20
2020;08 - Kennedy;18. 80 a 84 años;M;309;93
2020;08 - Kennedy;10. 40 a 44 años;F;3309;8
2020;08 - Kennedy;05. 15 a 19 años;F;1580;
2020;08 - Kennedy;11. 45 A 49 años;F;2789;10
2020;08 - Kennedy;12. 50 a 54 años;M;2217;49
2020;01 - Usaquén;12. 50 a 54 años;F;1396;2
2020;02 - Chapinero;08. 30 a 34 años;M;938;
2020;02 - Chapinero;09. 35 a 39 años;F;750;1
2020;09 - Fontibón;19. 85 a 89 años;M;74;23
2020;09 - Fontibón;08. 30 a 34 años;F;1533;1
2020;09 - Fontibón;10. 40 a 44 años;F;1256;3
2020;10 - Engativá;03. 5 a 9 años;F;545;
2020;10 - Engativá;14. 60 a 64 años;M;1345;72
2020;10 - Engativá;08. 30 a 34 años;M;3112;7
2020;10 - Engativá;12. 50 a 54 años;M;2017;43
2020;10 - Engativá;07. 25 a 29 años;F;3866;
2020;10 - Engativá;10. 40 a 44 años;F;2530;2
2020;10 - Engativá;12. 50 a 54 años;F;2374;12
2020;10 - Engativá;07. 25 a 29 años;M;3212;3
2020;06 - Tunjuelito;07. 25 a 29 años;M;694;2
2020;22 - En Rev_Loc;06. 20 a 24 años;F;552;1
2020;22 - En Rev_Loc;15. 65 a 69 años;M;139;1
2020;22 - En Rev_Loc;14. 60 a 64 años;F;219;2
2020;14 - Los Mártires;07. 25 a 29 años;M;482;
2020;14 - Los Mártires;17. 75 a 79 años;M;73;9
2020;16 - Puente Aranda;13. 55 a 59 años;F;759;10
2020;16 - Puente Aranda;07. 25 a 29 años;M;1325;
2020;16 - Puente Aranda;13. 55 a 59 años;M;770;26
2020;04 - San Cristóbal;12. 50 a 54 años;M;860;25
2020;04 - San Cristóbal;09. 35 a 39 años;M;1166;4
2020;04 - San Cristóbal;06. 20 a 24 años;M;1108;
2020;04 - San Cristóbal;10. 40 a 44 años;M;1012;8
2020;12 - Barrios Unidos;08. 30 a 34 años;F;687;
2020;12 - Barrios Unidos;07. 25 a 29 años;F;820;
2020;15 - Antonio Nariño;20. 90 a 94 años;M;17;9
2020;15 - Antonio Nariño;06. 20 a 24 años;M;273;1
2020;19 - Ciudad Bolívar;07. 25 a 29 años;F;2263;2
2020;19 - Ciudad Bolívar;08. 30 a 34 años;F;2041;1
2020;19 - Ciudad Bolívar;12. 50 a 54 años;M;924;33
2020;19 - Ciudad Bolívar;13. 55 a 59 años;F;1007;23
2020;99 - Localidad Desconocida;08. 30 a 34 años;M;322;2
2020;18 - Rafael Uribe Uribe;10. 40 a 44 años;M;1148;12
2020;18 - Rafael Uribe Uribe;05. 15 a 19 años;F;522;
2020;18 - Rafael Uribe Uribe;06. 20 a 24 años;F;1177;1
2020;18 - Rafael Uribe Uribe;08. 30 a 34 años;M;1489;4
2020;18 - Rafael Uribe Uribe;08. 30 a 34 años;F;1479;1
2020;18 - Rafael Uribe Uribe;09. 35 a 39 años;M;1382;9
2021;05 - Usme;11. 45 A 49 años;M;1033;24
2021;07 - Bosa;09. 35 a 39 años;M;3809;23
2021;07 - Bosa;05. 15 a 19 años;M;1776;
2021;07 - Bosa;11. 45 A 49 años;M;2638;52
2021;07 - Bosa;10. 40 a 44 años;M;3283;45
2021;07 - Bosa;08. 30 a 34 años;M;3683;18
2021;11 - Suba;08. 30 a 34 años;F;9191;15
2021;11 - Suba;05. 15 a 19 años;M;4016;
2021;11 - Suba;11. 45 A 49 años;M;5280;78
2021;03 - Santa Fe;07. 25 a 29 años;F;1091;3
2021;08 - Kennedy;08. 30 a 34 años;F;7591;7
2021;08 - Kennedy;09. 35 a 39 años;F;7307;20
2021;08 - Kennedy;12. 50 a 54 años;F;4978;57
2021;08 - Kennedy;15. 65 a 69 años;F;2060;131
2021;01 - Usaquén;08. 30 a 34 años;F;4835;3
2021;01 - Usaquén;13. 55 a 59 años;M;2141;58
2021;02 - Chapinero;08. 30 a 34 años;F;2041;
2021;02 - Chapinero;04. 10 a 14 años;M;389;
2021;09 - Fontibón;02. 1 a 4 años;M;323;
2021;09 - Fontibón;06. 20 a 24 años;F;2643;1
2021;09 - Fontibón;09. 35 a 39 años;F;2890;5
2021;09 - Fontibón;13. 55 a 59 años;F;2133;47
2021;09 - Fontibón;10. 40 a 44 años;F;2916;12
2021;09 - Fontibón;08. 30 a 34 años;F;2920;1
2021;09 - Fontibón;16. 70 a 74 años;M;495;60
2021;09 - Fontibón;11. 45 A 49 años;F;2585;18
2021;10 - Engativá;06. 20 a 24 años;F;6072;2
2021;10 - Engativá;11. 45 A 49 años;F;4669;33
2021;10 - Engativá;07. 25 a 29 años;F;7380;6
2021;10 - Engativá;12. 50 a 54 años;F;4749;35
2021;10 - Engativá;08. 30 a 34 años;M;5977;25
2021;10 - Engativá;04. 10 a 14 años;F;1928;
2021;06 - Tunjuelito;06. 20 a 24 años;M;967;1
2021;13 - Teusaquillo;09. 35 a 39 años;M;1414;7
2021;16 - Puente Aranda;15. 65 a 69 años;M;472;56
2021;16 - Puente Aranda;11. 45 A 49 años;M;1204;25
2021;04 - San Cristóbal;13. 55 a 59 años;F;1326;31
2021;12 - Barrios Unidos;17. 75 a 79 años;F;211;21
2021;12 - Barrios Unidos;04. 10 a 14 años;F;351;
2021;15 - Antonio Nariño;01. Menor de 1 año;F;14;
2021;19 - Ciudad Bolívar;07. 25 a 29 años;M;3344;3
2021;19 - Ciudad Bolívar;14. 60 a 64 años;M;1067;94
2021;19 - Ciudad Bolívar;09. 35 a 39 años;M;2879;25
2021;18 - Rafael Uribe Uribe;11. 45 A 49 años;M;1478;29
2021;18 - Rafael Uribe Uribe;02. 1 a 4 años;M;259;
2021;05 - Usme;12. 50 a 54 años;F;1252;16
2021;07 - Bosa;08. 30 a 34 años;F;4417;7
2021;11 - Suba;04. 10 a 14 años;F;2711;
2021;03 - Santa Fe;05. 15 a 19 años;F;450;
2021;08 - Kennedy;10. 40 a 44 años;F;6630;32
2021;01 - Usaquén;14. 60 a 64 años;M;1819;87
2021;01 - Usaquén;07. 25 a 29 años;M;4321;3
2021;02 - Chapinero;09. 35 a 39 años;F;1710;1
2021;10 - Engativá;08. 30 a 34 años;F;6718;8
2021;22 - En Rev_Loc;11. 45 A 49 años;M;905;2
2021;14 - Los Mártires;13. 55 a 59 años;M;373;21
2021;12 - Barrios Unidos;11. 45 A 49 años;F;860;4
2021;19 - Ciudad Bolívar;16. 70 a 74 años;F;430;48
2021;18 - Rafael Uribe Uribe;07. 25 a 29 años;F;3010;1
2022;05 - Usme;03. 5 a 9 años;M;107;
2022;11 - Suba;02. 1 a 4 años;M;913;
2022;11 - Suba;11. 45 A 49 años;M;1895;
2022;11 - Suba;18. 80 a 84 años;F;714;19
2022;11 - Suba;14. 60 a 64 años;M;1716;8
2022;11 - Suba;15. 65 a 69 años;F;1845;6
2022;11 - Suba;13. 55 a 59 años;F;2568;5
2022;11 - Suba;14. 60 a 64 años;F;2537;5
2022;11 - Suba;07. 25 a 29 años;F;3379;1
2022;11 - Suba;17. 75 a 79 años;M;718;18
2022;11 - Suba;08. 30 a 34 años;M;2322;2
2022;11 - Suba;16. 70 a 74 años;M;1022;17
2022;11 - Suba;16. 70 a 74 años;F;1407;11
2022;11 - Suba;05. 15 a 19 años;M;893;1
2022;03 - Santa Fe;17. 75 a 79 años;M;52;3
2022;08 - Kennedy;08. 30 a 34 años;F;2114;2
